variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,5000,5,1000,0.0,lookup_absent,25,99.614245,9.23359162089663,3.619567915391479
node256_only,controlled_fanout,5000,5,1000,0.0,lookup_success,25,61.496993599999996,5.132075602356354,2.0117736361236904
node256_only,controlled_fanout,5000,50,100,0.0,insert,25,17.289553559999998,2.868961855054268,1.1246330471812729
node256_only,controlled_fanout,5000,50,100,0.0,lookup_absent,25,112.27332128,14.849637715471854,5.821057984464966
node256_only,controlled_fanout,5000,50,100,0.0,lookup_success,25,77.05014688,9.671255430350515,3.7911321286974013
node256_only,controlled_fanout,5600,56,100,0.0,insert,25,21.33844136,3.3979550600792585,1.3319983835510691
node256_only,controlled_fanout,5600,56,100,0.0,lookup_absent,25,125.47065328000001,15.856342451470534,6.215686240976449
node256_only,controlled_fanout,5600,56,100,0.0,lookup_success,25,83.14661856000001,13.048463911833315,5.114997853438659
node256_only,controlled_fanout,6000,6,1000,0.0,insert,25,7.899961439999999,0.6324578364851737,0.2479234719021881
node256_only,controlled_fanout,6000,6,1000,0.0,lookup_absent,25,101.72543144,3.129342044101645,1.2267020812878449
node256_only,controlled_fanout,6000,6,1000,0.0,lookup_success,25,61.05790964,3.117768403212504,1.2221652140593016
node256_only,controlled_fanout,6300,63,100,0.0,insert,25,21.5148758,3.1007969455490394,1.2155124026552235
node256_only,controlled_fanout,6300,63,100,0.0,lookup_absent,25,127.01364,12.73927807892366,4.993797006938075
node256_only,controlled_fanout,6300,63,100,0.0,lookup_success,25,84.26090388,6.355204076832665,2.491239998118405
node256_only,controlled_fanout,6400,64,100,0.0,insert,25,22.21679988,2.9809155122773983,1.1685188808127402
node256_only,controlled_fanout,6400,64,100,0.0,lookup_absent,25,126.78184592,12.10267418645314,4.7442482810896305
node256_only,controlled_fanout,6400,64,100,0.0,lookup_success,25,84.71792348000001,6.018940390015407,2.3594246328860398
node256_only,controlled_fanout,6500,65,100,0.0,insert,25,22.453851,2.9252400054930963,1.1466940821532936
node256_only,controlled_fanout,6500,65,100,0.0,lookup_absent,25,126.54743839999999,11.580062362683273,4.539384446171843
node256_only,controlled_fanout,6500,65,100,0.0,lookup_success,25,84.2443858,5.894604820353673,2.31068508957864
node256_only,controlled_fanout,6600,66,100,0.0,insert,25,19.59372032,1.5688498458403821,0.6149891395694298
node256_only,controlled_fanout,6600,66,100,0.0,lookup_absent,25,116.8878726,2.157503278960081,0.8457412853523516
node256_only,controlled_fanout,6600,66,100,0.0,lookup_success,25,77.44670888,0.5461796805126116,0.21410243476094376
node256_only,controlled_fanout,7000,7,1000,0.0,insert,25,8.29040256,0.7209914231007472,0.28262863785549286
node256_only,controlled_fanout,7000,7,1000,0.0,lookup_absent,25,99.10642379999999,5.690757149138048,2.2307768024621146
node256_only,controlled_fanout,7000,7,1000,0.0,lookup_success,25,60.99483688,1.3287762721357685,0.5208802986772213
node256_only,controlled_fanout,8000,8,1000,0.0,insert,25,9.07343,0.9497833327146685,0.37231506642415
node256_only,controlled_fanout,8000,8,1000,0.0,lookup_absent,25,99.48585311999999,5.0672310464645856,1.9863545702141174
node256_only,controlled_fanout,8000,8,1000,0.0,lookup_success,25,59.76502388,2.653805384459379,1.0402917107080767
node256_only,controlled_fanout,8000,80,100,0.0,insert,25,22.339333240000002,3.100077160239687,1.2152302468139573
node256_only,controlled_fanout,8000,80,100,0.0,lookup_absent,25,123.32691976,13.151198203936882,5.155269695943258
node256_only,controlled_fanout,8000,80,100,0.0,lookup_success,25,82.74680268,7.135859027979337,2.7972567389679
node256_only,controlled_fanout,9600,96,100,0.0,insert,25,21.4613078,2.601449047590128,1.0197680266553302
node256_only,controlled_fanout,9600,96,100,0.0,lookup_absent,25,120.9390932,9.702210682378338,3.8032665874923084
node256_only,controlled_fanout,9600,96,100,0.0,lookup_success,25,79.21453319999999,7.065773914451643,2.769783374465044
node256_only,controlled_fanout,10000,1,10000,0.0,insert,25,24.47478908,3.4990465566141835,1.3716262501927599
node256_only,controlled_fanout,10000,1,10000,0.0,lookup_absent,25,125.83850804,10.844063549680124,4.250872911474608
node256_only,controlled_fanout,10000,1,10000,0.0,lookup_success,25,84.1532304,6.219606558921569,2.4380857710972554
node256_only,controlled_fanout,11200,112,100,0.0,insert,25,22.96897316,3.0996223867674684,1.2150519756128477
node256_only,controlled_fanout,11200,112,100,0.0,lookup_absent,25,117.31561056000001,13.526969435894552,5.302572018870665
node256_only,controlled_fanout,11200,112,100,0.0,lookup_success,25,74.29125668,7.179779460805203,2.8144735486356396
node256_only,controlled_fanout,12000,12,1000,0.0,insert,25,11.38820564,1.293203825498836,0.5069358995955437
node256_only,controlled_fanout,12000,12,1000,0.0,lookup_absent,25,92.88075736,11.654193800925773,4.568443969962903
node256_only,controlled_fanout,12000,12,1000,0.0,lookup_success,25,55.974082200000005,7.604934071742182,2.981134156122935
node256_only,controlled_fanout,12800,128,100,0.0,insert,25,23.79794012,3.498979878845872,1.3716001125075818
node256_only,controlled_fanout,12800,128,100,0.0,lookup_absent,25,120.14016716,3.522541552085914,1.3808362884176781
node256_only,controlled_fanout,12800,128,100,0.0,lookup_success,25,74.09747724,6.115526922889353,2.3972865537726262
node256_only,controlled_fanout,15000,15,1000,0.0,insert,25,12.99587404,0.9918962633537877,0.38882333523468476
node256_only,controlled_fanout,15000,15,1000,0.0,lookup_absent,25,92.40737372,4.80743030638277,1.884512680102046
node256_only,controlled_fanout,15000,15,1000,0.0,lookup_success,25,54.71469543999999,1.935045614959417,0.7585378810640915
node256_only,controlled_fanout,16000,16,1000,0.0,insert,25,11.94607364,0.9374191272174222,0.3674682978692295
node256_only,controlled_fanout,16000,16,1000,0.0,lookup_absent,25,83.44249724,8.229335440899874,3.2258994928327502
node256_only,controlled_fanout,16000,16,1000,0.0,lookup_success,25,48.58878732,2.3403800526134586,0.9174289806244758
node256_only,controlled_fanout,16000,160,100,0.0,insert,25,23.51930216,1.587387745865875,0.622255996379423
node256_only,controlled_fanout,16000,160,100,0.0,lookup_absent,25,115.44656004000001,3.643185494100645,1.4281287136874528
node256_only,controlled_fanout,16000,160,100,0.0,lookup_success,25,68.20109892,2.376348539376272,0.9315286274354987
node256_only,controlled_fanout,17000,17,1000,0.0,insert,25,13.534690880000001,0.7906177042037726,0.3099221400478789
node256_only,controlled_fanout,17000,17,1000,0.0,lookup_absent,25,91.21483544,5.330873491632705,2.08970240872002
node256_only,controlled_fanout,17000,17,1000,0.0,lookup_success,25,52.484093599999994,1.7698380185214475,0.6937765032604074
node256_only,controlled_fanout,18000,18,1000,0.0,insert,25,13.887914,0.8296084476976677,0.32520651149748575
node256_only,controlled_fanout,18000,18,1000,0.0,lookup_absent,25,90.61919588,3.958697696237755,1.5518094969251999
node256_only,controlled_fanout,18000,18,1000,0.0,lookup_success,25,50.71309536,4.106692847496156,1.609823596218493
node256_only,controlled_fanout,19200,192,100,0.0,insert,25,22.916609199999996,1.9867676082791699,0.7788129024454346
node256_only,controlled_fanout,19200,192,100,0.0,lookup_absent,25,109.90932412000001,12.324326551947468,4.831136008363408
node256_only,controlled_fanout,19200,192,100,0.0,lookup_success,25,61.80134148,1.902064692699141,0.7456093595380632
